title,Price,Processor,RAM,Operating System,Display,Storage,Office,warrenty
Lenovo Yoga 7 WUXGA-OLED Intel Core i7 13th Gen 1360P - (16 GB/SSD/1 TB SSD/windows 11 home) 14IRL8 2 ...,"₹1,14,190",intel core i7 processor (13th gen),16 gb lpddr5 ram,windows 11 operating system,35.56 cm (14 inch) touchscreen display,1 tb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/SSD/1 TB SSD/windows 11 home) NP960XGK-K...,"₹1,76,990",intel core ultra 7 processor,32 gb lpddr5x ram,64 bit windows 11 operating system,40.64 cm (16 inch) touchscreen display,1 tb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/SSD/512 GB SSD/windows 11 home) NP940XGK...,"₹1,26,990",intel core ultra 5 processor,16 gb lpddr5x ram,64 bit windows 11 operating system,35.56 cm (14 inch) touchscreen display,512 gb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
MSI Prestige 13 AI Evo Intel Core Ultra 5 125H - (16 GB/SSD/1 TB SSD/windows 11 home) Prestige 13 AI E...,"₹99,990",intel core ultra 5 processor,16 gb lpddr5 ram,windows 11 operating system,33.78 cm (13.3 inch) display,1 tb ssd,no-office,2 Year Carry-in Warranty
SAMSUNG Galaxy Book4 Intel Core 7 150U - (16 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS3IN / NP750...,"₹87,990",intel core 7 processor,16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP 15s (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/SSD/512 GB SSD/windows 11 home) 15-fc0026AU Thin and...,"₹37,999",amd ryzen 3 quad core processor,8 gb lpddr5 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/SSD/1 TB SSD/windows 11 home) NP940XGK-K...,"₹1,66,990",intel core ultra 7 processor,32 gb lpddr5x ram,64 bit windows 11 operating system,35.56 cm (14 inch) touchscreen display,1 tb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
DELL Intel Core i5 12th Gen 1235U - (8 GB/SSD/512 GB SSD/windows 11 home) New Inspiron 14 2-in-1 2 in ...,"₹75,999",intel core i5 processor (12th gen),8 gb ddr4 ram,64 bit windows 11 operating system,35.56 cm (14 inch) touchscreen display,512 gb ssd,no-office,1 Year Onsite Hardware Service
HP 255 G9 AMD Athlon Dual Core AMD Athlon Silver-3050U - (4 GB/SSD/256 GB SSD/DOS) 255 G9 Thin and Lig...,"₹18,990",amd athlon dual core processor,4 gb ddr4 ram,dos,39.62 cm (15.6 inch) display,256 gb ssd,no-office,1 year warranty
ASUS AMD Ryzen 5 Octa Core - (8 GB/SSD/512 GB SSD/windows 11 home) E1404FA-NK522WS Laptop,"₹42,990",amd ryzen 5 octa core processor,8 gb ddr4 ram,windows 11 operating system,35.56 cm (14 inch) display,512 gb ssd,no-office,1 Year International Warranty
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/windows 11 home/8 GB Graphics/NVID...,"₹96,990",intel core i5 processor (12th gen),16 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,1 tb hdd|256 gb ssd,no-office,2 Year Carry-in Warranty
SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U - (16 GB/SSD/512 GB SSD/windows 11 home) Galaxy Book...,"₹71,999",intel core i7 processor (13th gen),16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/SSD/512 GB SSD/windows 11 home) NP960XGK...,"₹1,36,990",intel core ultra 5 processor,16 gb lpddr5x ram,64 bit windows 11 operating system,40.64 cm (16 inch) touchscreen display,512 gb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (8 GB/512 GB SSD/windows 11 home/4 GB...","₹49,600",amd ryzen 5 hexa core processor,8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
HP Victus Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/windows 11 home/6 GB Graphics/NVIDIA GeFor...,"₹96,990",intel core i7 processor (13th gen),16 gb ddr4 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/windows 11 home) 15s-fy5003TU Thin and Lig...,"₹37,990",intel core i3 processor (12th gen),8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS1IN / NP750X...,"₹73,990",intel core 5 processor,8 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book3 Pro EVO AMOLED Intel Core i7 13th Gen 1360P - (16 GB/SSD/1 TB SSD/windows 11 home...,"₹1,09,990",intel core i7 processor (13th gen),16 gb ddr5 ram,windows 11 operating system,40.64 cm (16 inch) display,1 tb ssd,no-office,1 Year Onsite Warranty
Infinix GT Book Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/windows 11 home/6 GB Graphics/NVIDIA...,"₹79,990",intel core i5 processor (13th gen),16 gb lpddr5x ram,windows 11 operating system,40.64 cm (16 inch) display,512 gb ssd,no-office,1 Year Domestic Onsite Warranty On Laptop and 6 Months On Adapter
DELL Latitude 14 Intel Core i5 11th Gen - (16 GB/SSD/512 GB SSD/Ubuntu) 3420 Business Laptop,"₹47,999",intel core i5 processor (11th gen),16 gb ddr4 ram,linux/ubuntu operating system,35.56 cm (14 inch) display,512 gb ssd,no-office,3 year domestic
Acer Aspire 3 Intel Core i3 12th Gen - (8 GB/SSD/512 GB SSD/windows 11 home) A315-59 Thin and Light La...,"₹36,500",intel core i3 processor (12th gen),8 gb ddr4 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year International Travelers Warranty (ITW)
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KG1IN / NP750X...,"₹73,990",intel core 5 processor,8 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS2IN / NP750...,"₹78,990",intel core 5 processor,16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
ASUS Vivobook 14 (2023) Intel Core i3 13th Gen 1315U - (8 GB/SSD/512 GB SSD/windows 11 home) X1404VA-N...,"₹38,990",intel core i3 processor (13th gen),8 gb ddr4 ram,windows 11 operating system,35.56 cm (14 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
